MSOA11,AbsXSMeanM,AbsXSMedianM,AbsXSL95M,AbsXSU95M,PosteriorProbabilityM,RelXSMeanM,RelXSMedianM,RelXSL95M,RelXSU95M,M40plus,XSrateM,pcIncM,AbsXSMeanF,AbsXSMedianF,AbsXSL95f,AbsXSU95F,PosteriorProbabilityF,RelXSMeanF,RelXSMedianF,RelXSL95F,RelXSU95F,F40plus,XSrateF,pcIncF
E02000001,2.625216217,2.51233107,-1.637849089,7.556488492,0.87165,1.34129605,1.304394938,0.833579134,2.055394166,2588,101.43803,34.12960502,0.415029643,0.333189978,-2.584657502,3.889127731,0.58195,1.105712527,1.060949614,0.620822523,1.846449312,2102,19.74451205,10.57125272
E02000002,3.617780096,3.494220706,-0.530106908,8.426484163,0.954125,1.510384193,1.470380187,0.93966414,2.310846768,1455,248.6446801,51.03841928,8.354167052,8.081229719,2.439643621,15.87242067,0.99825,2.161796582,2.076156516,1.273189052,3.521570847,1712,487.9770475,116.1796582
E02000003,3.985924137,3.835619439,-0.529289704,9.295326353,0.955475,1.499252939,1.458313156,0.945990838,2.2896546,2210,180.3585582,49.92529387,3.856250451,3.733551289,-1.772989194,10.22340847,0.90345,1.452711082,1.41226518,0.841532198,2.291259673,2389,161.4169297,45.27110823
E02000004,7.305979012,7.135299692,2.056073001,13.58545571,0.99825,2.004780664,1.94986346,1.23329208,3.104315417,1372,532.5057589,100.4780664,4.756209904,4.53996378,-1.232842729,11.91075221,0.93365,1.488377213,1.441634524,0.898946067,2.340079803,1699,279.9417248,48.83772128
E02000005,1.170593799,1.102477018,-2.154120232,4.754806751,0.7508,1.22362162,1.18450271,0.716742219,1.938722151,1861,62.90133256,22.36216197,0.94051454,0.855872175,-2.803377166,5.182429359,0.6729,1.164634598,1.126836489,0.662780572,1.890703096,2064,45.56756492,16.46345976
E02000007,6.739700991,6.511448192,1.383836104,13.3822162,0.994775,1.815687105,1.751977187,1.138127723,2.841143667,1891,356.4093597,81.56871047,5.431479093,5.338282025,-1.103803707,12.4788507,0.9501,1.611405646,1.573026181,0.906964756,2.553242477,2103,258.2729003,61.14056456
E02000008,6.007426906,5.879593619,-0.233987202,13.02736372,0.970225,1.592839392,1.559897968,0.981759349,2.403707629,2436,246.6102999,59.28393918,3.743058253,3.580711149,-1.784024901,10.31632681,0.897625,1.421885877,1.379913821,0.842147632,2.250875976,2770,135.1284568,42.1885877
E02000009,5.384034595,5.245281986,1.298233871,10.2575175,0.996425,1.987485683,1.932189678,1.189088202,3.110193256,1964,274.136181,98.74856829,3.697884424,3.567783211,-0.624404589,8.718269864,0.951525,1.667967441,1.610514238,0.91592254,2.750763115,2231,165.7500862,66.7967441
E02000010,3.302038542,3.17572319,-0.548373535,7.913736935,0.949075,1.498954735,1.45836999,0.932103594,2.301542653,1674,197.2543932,49.89547355,2.942334034,2.818536298,-1.194040181,7.881291816,0.908325,1.513108889,1.453766558,0.844746167,2.511908388,2056,143.109632,51.31088886
E02000011,8.835929295,8.641932265,3.089801973,15.56299514,0.9982,2.200237576,2.149578353,1.336622503,3.352667328,1442,612.7551522,120.0237576,5.776059341,5.596089214,0.361735561,12.19290798,0.98245,1.809410297,1.751591164,1.040207576,2.90299144,1495,386.3584844,80.94102967
E02000012,4.925391857,4.802352101,0.366900188,10.19046174,0.9835,1.680532704,1.642036526,1.040772811,2.544892047,2106,233.8742572,68.05327037,6.000120271,5.73436184,0.404868496,13.07832015,0.9833,1.770724121,1.694823611,1.042223863,2.909050478,2209,271.6215605,77.07241206
E02000013,2.66358769,2.547126987,-0.384771577,6.339503276,0.95345,1.526578337,1.477864142,0.939120414,2.394183142,1608,165.6460006,52.65783374,5.063811704,4.884379899,0.744875821,10.3699615,0.9911,1.96285931,1.893304001,1.112042361,3.220134048,1890,267.9265452,96.28593103
E02000014,8.661146572,8.433106666,3.18973503,15.42634796,0.99975,2.243787643,2.181372812,1.381964831,3.464524216,1883,459.9652986,124.3787643,4.025860554,3.858014578,-0.035678207,9.002190889,0.97375,1.791528348,1.714997902,0.994799115,3.048213736,2188,183.9972831,79.15283481
E02000015,3.278723359,3.1800865,-0.511980536,7.647840246,0.953575,1.568911171,1.521663064,0.930977555,2.48680865,1435,228.482464,56.89111712,3.98436608,3.843150859,-0.043274915,8.801428283,0.973475,1.808178813,1.748246409,0.993252372,2.965535802,1673,238.1569683,80.81788127
E02000016,2.011619951,1.951105737,-0.050712233,4.406476823,0.97175,1.725022915,1.66367562,0.986100217,2.801117304,1362,147.6960316,72.50229147,-0.340862337,-0.349912937,-1.37011629,0.739215709,0.251625,0.855666548,0.818697264,0.456319512,1.462546913,1281,-26.60908175,-14.43334521
E02000017,4.41867522,4.289345637,0.898957802,8.72012752,0.993425,1.974591409,1.89841633,1.154137516,3.215842059,1686,262.0803808,97.45914089,1.565467733,1.491737649,-1.406389705,4.945800604,0.8416,1.422542134,1.362811819,0.742891341,2.432713824,1657,94.47602493,42.25421345
E02000018,6.839191755,6.665034335,2.127855907,12.51062405,0.9984,2.134084807,2.073100624,1.284237487,3.322018485,1692,404.2075505,113.4084807,4.90517427,4.747595997,0.493262755,10.27204192,0.986425,1.988112556,1.906990788,1.074174838,3.364638863,1817,269.9600589,98.81125563
E02000019,6.500809953,6.331704605,2.022054787,11.95452517,0.9987,2.183107901,2.109368953,1.288062565,3.516405043,1717,378.614441,118.3107901,4.62995659,4.471311395,0.674576585,9.598705396,0.99105,2.0554303,1.971447774,1.119854343,3.482781121,1876,246.7993918,105.54303
E02000020,5.968478659,5.78554835,1.387190223,11.61404385,0.99655,1.894293721,1.835341921,1.173413273,2.965577469,2201,271.1712249,89.42937208,13.82834684,13.48382318,5.862853567,23.73056266,0.999925,3.012078938,2.896554459,1.668119451,5.007872637,2408,574.2668955,201.2078938
E02000021,7.995030956,7.770216194,2.431877365,14.81321008,0.9989,2.177168384,2.098004709,1.284623663,3.513344883,1616,494.7420146,117.7168384,6.902681125,6.673596188,0.934168163,14.23284983,0.989975,1.963153658,1.886471517,1.101518378,3.279685024,1885,366.1899801,96.31536582
E02000022,1.746816402,1.706186981,-0.033597958,3.768897662,0.97295,1.882238675,1.805920594,0.988358421,3.232121686,1223,142.8304499,88.22386747,1.089503319,1.037520813,-0.352839512,2.819350279,0.928275,1.696079069,1.60295915,0.849167959,3.059201081,1161,93.8418018,69.60790686
E02000023,1.496632006,1.430227463,-0.269229141,3.637084965,0.94905,1.62145319,1.552106301,0.915673889,2.712261573,1254,119.3486448,62.14531896,3.521032824,3.367814478,0.636105174,7.215877711,0.9944,2.329444386,2.196669239,1.174250956,4.242752648,1319,266.9471436,132.9444386
E02000024,9.93559685,9.750288642,2.860767831,18.16593623,0.998275,1.920039214,1.877186783,1.218986323,2.870960278,2807,353.95785,92.00392136,12.80546536,12.39820637,3.015221227,24.73526176,0.99705,1.881408824,1.825699076,1.174749139,2.895469214,3240,395.2304122,88.14088235
E02000025,5.993036938,5.838027812,0.759954604,12.10843014,0.987775,1.76599618,1.719376719,1.078764247,2.726628296,2066,290.0792322,76.59961796,6.242557844,6.046045033,0.367920823,13.3479553,0.981625,1.825260215,1.764598871,1.038164743,2.963701038,2277,274.1571298,82.5260215
E02000026,7.704985655,7.501900149,2.925601743,13.64669231,0.999775,2.382447816,2.304022445,1.427601936,3.783284561,1631,472.4086852,138.2447816,5.350757454,5.131910863,0.607561889,11.28359924,0.987875,1.962101179,1.870880059,1.082210236,3.340266207,1833,291.9125725,96.21011793
E02000027,9.684732153,9.539781658,2.945031223,17.24597778,0.997175,2.234007365,2.176965051,1.281729936,3.525706261,2202,439.8152658,123.4007365,8.378808127,8.128932244,0.912353005,17.27512227,0.986475,1.807542855,1.756463652,1.07018398,2.8342454,2623,319.4360704,80.75428548
E02000028,5.154605463,5.011092978,1.037187153,10.04101754,0.995425,1.872182492,1.817548296,1.141908877,2.902863723,1673,308.1055268,87.21824919,3.816891765,3.67254562,-1.103859668,9.541945689,0.9329,1.571685456,1.519431592,0.877552195,2.564093858,1724,221.3974342,57.16854562
E02000029,5.551939573,5.421299367,0.862282546,11.05922206,0.990575,1.795037223,1.748942556,1.098933902,2.760072443,2117,262.2550578,79.50372235,2.585071248,2.406045303,-1.885615152,7.9825095,0.86,1.390649319,1.3324907,0.790642002,2.338261438,2212,116.8657888,39.06493191
E02000030,5.738463309,5.581256315,-0.068896855,12.54733085,0.973625,1.512212926,1.481121213,0.994488617,2.210115897,2439,235.2793485,51.2212926,6.449110251,6.189442536,-0.608117827,14.87370338,0.96095,1.542046283,1.500403979,0.95731862,2.358326344,2951,218.5398255,54.20462829
E02000031,8.865063024,8.656987156,2.931471356,15.99086181,0.9991,2.073323053,2.015876103,1.291926615,3.176607669,1928,459.8061734,107.3323053,9.205412914,8.923052328,1.905063348,18.13616024,0.995525,1.970201528,1.901321211,1.160707247,3.177747916,2195,419.3809984,97.02015283
E02000032,7.099882262,6.930968607,1.547142863,13.56352206,0.996025,1.922366691,1.86884559,1.160903195,2.981445251,1963,361.685291,92.23666914,1.458105528,1.354886251,-2.081235212,5.571361897,0.773275,1.302581392,1.241780733,0.707809612,2.239953993,2270,64.23372371,30.25813922
E02000033,6.540647723,6.378545375,1.381153433,12.57174092,0.994375,1.875850545,1.822932314,1.149427448,2.881053843,2057,317.9702344,87.5850545,4.355407266,4.150287617,-1.135065093,10.92417322,0.936825,1.492432335,1.4438477,0.898092779,2.36107047,2376,183.3083866,49.24323348
